sequence,next
"[78, 551, 64, 430, 13]",7
"[92, 62, 226, 112, 25]",263
"[62, 226, 112, 25, 263]",12
"[226, 112, 25, 263, 12]",93
"[86, 29, 389, 12, 488]",270
"[29, 389, 12, 488, 270]",519
"[389, 12, 488, 270, 519]",55
"[12, 488, 270, 519, 55]",247
"[488, 270, 519, 55, 247]",177
"[270, 519, 55, 247, 177]",33
"[519, 55, 247, 177, 33]",159
"[83, 83, 105, 575, 93]",145
"[294, 551, 430, 442, 55]",21
"[134, 239, 535, 30, 30]",29
"[239, 535, 30, 30, 29]",143
"[535, 30, 30, 29, 143]",49
"[30, 30, 29, 143, 49]",21
"[434, 34, 149, 3, 550]",44
"[34, 149, 3, 550, 44]",13
"[149, 3, 550, 44, 13]",252
"[3, 550, 44, 13, 252]",242
"[550, 44, 13, 252, 242]",21
"[44, 13, 252, 242, 21]",7
"[13, 252, 242, 21, 7]",207
"[252, 242, 21, 7, 207]",284
"[242, 21, 7, 207, 284]",284
"[153, 325, 150, 55, 55]",49
"[325, 150, 55, 55, 49]",21
"[150, 55, 55, 49, 21]",171
"[55, 55, 49, 21, 171]",171
"[39, 25, 235, 270, 67]",7
"[230, 74, 205, 235, 435]",435
"[74, 205, 235, 435, 435]",145
"[205, 235, 435, 435, 145]",145
"[112, 157, 12, 15, 167]",22
"[587, 587, 595, 77, 198]",67
"[587, 595, 77, 198, 67]",314
"[86, 244, 131, 3, 125]",84
"[244, 131, 3, 125, 84]",84
"[131, 3, 125, 84, 84]",275
"[3, 125, 84, 84, 275]",381
"[125, 84, 84, 275, 381]",45
"[319, 552, 56, 21, 114]",171
"[91, 91, 105, 19, 171]",171
"[550, 119, 366, 458, 84]",284
"[197, 533, 48, 49, 278]",21
"[587, 587, 175, 67, 448]",309
"[587, 175, 67, 448, 309]",284
"[248, 25, 54, 84, 42]",185
"[69, 239, 59, 98, 585]",187
"[219, 262, 118, 142, 179]",222
